Suburb,Postcode
Albert Park-Middle Park-West St Kilda,3182
Seaford-Carrum Downs,3198
Ringwood,3134
Rowville,3178
Wantirna-Scoresby,3155
Yarra Ranges,3140
Berwick,3806
Cranbourne,3977
Dandenong,3175
Dandenong North-Endeavour Hills,3175
Narre Warren-Hampton Park,3805
Noble Park,3174
Pakenham,3810
Springvale,3171
Dromana-Portsea,3936
Frankston,3199
Hastings-Flinders,3916
Ferntree Gully,3156
Croydon-Lilydale,3140
Boronia,3155
Ivanhoe-Ivanhoe East,3079
Sunbury,3429
West Brunswick,3055
Bundoora-Greensborough-Hurstbridge,3088
Eltham-Research-Montmorency,3094
Fairfield-Alphington,3078
Heidelberg-Heidelberg West,3081
Mill Park-Epping,3082
Bayswater,3153
Northcote,3070
Preston,3072
Reservoir,3073
Thomastown-Lalor,3075
Thornbury,3071
Whittlesea,3757
Mt Eliza-Mornington-Mt Martha,3931
Belmont-Grovedale,3216
Armadale,3143
Corio,3214
Horsham,3400
Mildura,3500
Moe-Newborough,3825
Morwell,3840
Ocean Grove-Barwon Heads,3227
Portland,3305
Sale-Maffra,3850
Seymour,3660
Shepparton,3630
Swan Hill,3585
Torquay,3228
Traralgon,3844
Wanagaratta,3677
Warragul,3820
Warrnambool,3280
Hamilton,3300
Echuca,3564
Castlemaine,3450
Mount Clear-Buninyong,3350
Geelong-Newcombe,3220
Herne Hill-Geelong West,3218
Lara,3212
Newtown,3220
North Geelong,3215
Ballarat,3350
Sebastopol-Delacombe,3356
Benalla,3672
Wendouree-Alfredton,3350
Bendigo,3550
Flora Hill-Bendigo East,3550
Golden Square-Kangaroo Flat,3555
North Bendigo,3550
Bairnsdale,3875
Pascoe Vale-Coburg North,3044
Oak Park-Glenroy-Fawkner,3046
Moonee Ponds-Ascot Vale,3039
Keilor,3036
St Kilda,3182
Toorak,3142
Balwyn,3103
Blackburn,3130
Box Hill,3128
Bulleen-Templestowe-Doncaster,3108
Burwood-Ashburton,3147
Camberwell-Glen Iris,3146
Canterbury-Surrey Hills-Mont Albert,3127
Chadstone-Oakleigh,3148
Clayton,3168
Doncaster East-Donvale,3111
East Hawthorn,3123
Glen Waverley-Mulgrave,3150
Hawthorn,3122
Southbank,3006
South Yarra,3141
South Melbourne,3205
East St Kilda,3183
Carlton North,3054
Carlton-Parkville,3010
CBD-St Kilda Rd,3004
Collingwood-Abbotsford,3067
Docklands,3008
East Melbourne,3002
Elwood,3184
Richmond-Burnley,3121
Fitzroy,3065
Fitzroy North-Clifton Hill,3068
Flemington-Kensington,3065
North Melbourne-West Melbourne,3051
Port Melbourne,3207
Prahran-Windsor,3181
Kew,3101
Mount Waverley,3149
Nunawading-Mitcham,3131
Yarraville-Seddon,3013
St Albans-Deer Park,3021
Sunshine,3020
Sydenham,3037
Werribee-Hoppers Crossing,3029
West Footscray,3012
Williamstown,3016
Broadmeadows-Roxburgh Park,3047
Melton,3337
Brunswick,3056
Coburg-Pascoe Vale South,3044
Craigieburn,3064
East Brunswick,3057
Essendon,3040
Gladstone Park-Tullamarine,3043
Newport-Spotswood,3015
Keilor East-Avondale Heights,3033
Vermont-Forest Hill-Burwood East,3133
Cheltenham,3192
Aspendale-Chelsea-Carrum,3196
Bentleigh,3204
Brighton,3186
Brighton East,3187
Carnegie,3163
Caulfield,3162
Elsternwick,3185
Footscray,3011
Hampton-Beaumaris,3188
Malvern,3144
Malvern East,3145
Mentone-Parkdale-Mordialloc,3194
Murrumbeena-Hughesdale,3163
Altona,3018
Wodonga,3690
